Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Sr,Y,Zr,Nb,Mo,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Nd,Sm,Eu,Gd,Dy,Er,Yb,Ta,W,Tl,Pb,Bi,cte
0,21.35,56.59,0,0,0,3.4,0.41,0.07,0,0,0,0.11,0,0,0,0,0,0.06,0,0.16,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.76,0.02,100
0,14.37,55.89,0,0,0,0.26,1.62,0.92,0,0,0,0.71,0,0,0,0,0,0.41,0,0.07,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.03,0.28,109
0,10.94,56.35,0,0,0,0.13,2.75,0.72,0,0,0,1.05,0,0,0,0,0,1.2,0,3.39,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.31,0.09,106
0,13.41,57.5,0,0,0,0.91,1.94,0.41,0,0,0,3.21,0,0,0,0,0,0.59,0,0.5,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.06,0.2,120
0,8.57,55.01,0,0,0,0.14,4.96,0.1,0,0,0,0.08,0,0,0,0,0,0.05,0,0.79,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.23,0.03,120
0,22.97,56.12,0,0,0,0.51,0.09,0.07,0,0,0,0.03,0,0,0,0,0,1.3,0,0.03,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.37,0.45,98
0,7.03,57.93,0,0,0,0.06,6.46,2.15,0,0,0,0.34,0,0,0,0,0,0.04,0,3.59,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.77,0.01,88
0,16.51,55.38,0,3.15,0,1.05,2.57,0,0,0,0,0,0,0,0,0,0,0.06,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.71,1.96,119
0,17.75,56.14,0,0.06,0,1.12,2.8,0,0,0,0,0,0,0,0,0,0,1.54,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.55,0.16,97
0,17.04,56.37,0,0.66,0,1.1,2.7,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.87,2.47,107
0,16.07,55.02,0,5.59,0,2.27,2.62,0,0,0,0,0,0,0,0,0,0,0.52,3.5,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.46,1.84,127
0,5.66,57.48,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,20.32,120
0,5.08,57.83,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,3.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.63,22.96,125
0,1.45,64.82,0,2.46,0,0,29.61,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0.58,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.05,61.7
